"DJ"	"DAS"	"sim"	"Expe"	"Type"
1003	79	507.842524904341	"SILIGOOT"	"intercrop_aviso_RRF"
1003	80	507.842524904341	"SILIGOOT"	"intercrop_aviso_RRF"
1004	81	507.845241131406	"SILIGOOT"	"intercrop_aviso_RRF"
1009	82	507.858151075419	"SILIGOOT"	"intercrop_aviso_RRF"
1016	83	507.874477898957	"SILIGOOT"	"intercrop_aviso_RRF"
1021	84	507.885006481764	"SILIGOOT"	"intercrop_aviso_RRF"
1026	85	507.89467744027	"SILIGOOT"	"intercrop_aviso_RRF"
1034	86	507.908539271118	"SILIGOOT"	"intercrop_aviso_RRF"
1043	87	507.922039009732	"SILIGOOT"	"intercrop_aviso_RRF"
1053	88	507.934805192844	"SILIGOOT"	"intercrop_aviso_RRF"
1064	89	507.94655572105	"SILIGOOT"	"intercrop_aviso_RRF"
1075	90	507.956302405262	"SILIGOOT"	"intercrop_aviso_RRF"
1082	91	507.961620387606	"SILIGOOT"	"intercrop_aviso_RRF"
1089	92	507.966341786963	"SILIGOOT"	"intercrop_aviso_RRF"
1097	93	507.971092652198	"SILIGOOT"	"intercrop_aviso_RRF"
1104	94	507.974751404551	"SILIGOOT"	"intercrop_aviso_RRF"
